Delta,Sample Size (95%),Min Defects (95%),Sample Size (90%),Max Defects (90%)
0.01,3458,376,2435,263
0.02,865,102,609,70
0.03,385,49,271,34
0.04,217,30,153,20
0.05,139,21,98,14
0.06,97,16,68,10
