情况,最大利润,是否检测零配件1,是否检测零配件2,是否检测成品,是否拆解不合格产品
1,57.4,否,否,否,是
2,56.3,否,否,否,是
3,55.0,否,否,否,是
4,51.5,否,否,否,是
5,57.0,否,否,否,是
6,73.5,否,否,否,是
